,ligand,site,score,COM_x,COM_y,COM_z,exhaustiveness,i,model
193,Apigenin,0,-6.8,40.26541373685488,15.477321377289126,-1.2593522951791527,1024,1,3
194,Apigenin,0,-6.7,40.122268669592295,14.686381745247026,-0.514227958596396,1024,1,4
195,Apigenin,0,-5.6,46.4930081261797,10.869886189864225,-7.809806766664003,1024,1,5
196,Apigenin,0,-5.6,46.4892285108441,10.883822930642426,-7.815972944195937,1024,1,6
197,Apigenin,0,-5.5,47.94195536840288,10.10640722774939,-7.476772044519357,1024,1,7
198,Apigenin,0,-5.5,47.936611932060565,10.108518599620904,-7.475139172263812,1024,1,8
199,Apigenin,0,-5.4,47.68370281278502,11.995326235731113,-7.646599175116623,1024,1,9
200,Apigenin,0,-5.3,46.906899737676675,11.561374070851093,-7.949523001263553,1024,1,10
201,Apigenin,0,-5.3,48.2364563657088,10.985087540336616,-6.54853047465562,1024,1,11
202,Apigenin,0,-5.3,47.14648647319989,11.071497870612943,-7.769889215181365,1024,1,12
203,Apigenin,0,-5.2,51.58921412466696,11.275185590173571,-1.9628951724951336,1024,1,13
204,Apigenin,0,-5.2,50.479800368661614,10.556930428876898,-3.66201647106977,1024,1,14
205,Apigenin,0,-7.9,40.08244909278865,15.454022459465051,-0.7389614134135775,1024,2,1
206,Apigenin,0,-6.8,40.265744238351544,15.475933004842114,-1.2494463449252151,1024,2,2
207,Apigenin,0,-6.6,40.10603168421254,14.678829490283848,-0.5139988641951783,1024,2,3
208,Apigenin,0,-5.6,46.489515245326174,10.88920066006782,-7.817105416153617,1024,2,4
209,Apigenin,0,-5.6,46.68976588711367,10.736390724154234,-7.94327190412063,1024,2,5
210,Apigenin,0,-5.5,46.832273416475246,10.729650000520566,-7.874248670657719,1024,2,6
211,Apigenin,0,-5.5,47.94059714782739,10.102503130226724,-7.473077478668325,1024,2,7
212,Apigenin,0,-5.5,47.93243638379689,10.104356858992794,-7.469320031133182,1024,2,8
213,Apigenin,0,-5.4,47.68427817042561,12.007822429614649,-7.635368405885853,1024,2,9
214,Apigenin,0,-5.3,46.90576691797092,11.574645220352295,-7.9464614471928705,1024,2,10
215,Apigenin,0,-5.3,48.23345016529056,10.988652205027591,-6.546900050999509,1024,2,11
216,Apigenin,0,-5.3,47.160212386154505,11.07308269177384,-7.773396559877763,1024,2,12
217,Apigenin,0,-5.2,51.588724543240595,11.278460351588825,-1.9685528969596444,1024,2,13
218,Apigenin,0,-5.2,40.81838637137568,13.978488735538276,-13.256605454796514,1024,2,14
219,Apigenin,0,-5.2,50.44602547467503,10.55945878201082,-3.6690491144012944,1024,2,15
220,Apigenin,0,-7.9,40.08366019844593,15.4540333487829,-0.7371938874914878,1024,3,1
221,Apigenin,0,-7.9,40.08777175954225,15.449920764656706,-0.7422115317550773,1024,3,2
222,Apigenin,0,-6.8,40.245215335705716,15.474721549916866,-1.267128098204789,1024,3,3
223,Apigenin,0,-6.7,40.123198828006906,14.687749034858484,-0.5047627572289011,1024,3,4
224,Apigenin,0,-5.6,46.49502908674106,10.874155037054253,-7.81273656152379,1024,3,5
225,Apigenin,0,-5.6,46.495206697707175,10.87454105878197,-7.813341847005893,1024,3,6
226,Apigenin,0,-5.5,47.934526168309354,10.102865904964618,-7.465603209784733,1024,3,7
227,Apigenin,0,-5.5,47.936805136746855,10.104828448711453,-7.468723306515846,1024,3,8
228,Apigenin,0,-5.4,47.69171934624578,12.005631365296527,-7.631414442382228,1024,3,9
